CID,Host galaxy,Host coord,SIMBAD,HyperLEDA,NED,total_type,reference,comment
05D2my,,,,,,,,
04D3lp,,,,,,,,
04D1rx,,,,,,,,
04D1iv,,,,,,,,
06D4cl,,,,,,,,
04D3dd,,,,,,,,
SCP05D0,,,,,,Early-type,"Meyers+,2012",
Eagle,,,,,,Late-type,"Meyers+,2012",
04D4dw,,,,,,,,
06D3en,,,,,,,,
SCP06C0,,,,,,Early-type,"Meyers+,2012",
Gabi,,,,,,Late-type,"Meyers+,2012",
vespesian,,,,,,E/S0,"Rodney+,2014",passive
Lancaster,,,,,,Early-type,"Meyers+,2012",
Koekemoer,,,,,,Late-type,"Meyers+,2012",
Aphrodite,,,,,,Late-type,"Meyers+,2012",2002fw
Thoth,,14 19 31.685 +52 51 56.05,,,,Early-type,"Meyers+,2012",2002hp
SCP05D6,,,,,,,,
washington,[RRS2014] GSD11Was Host G,03 32 20.856 -27 49 41.48,,,,Sb/Sbc/Sc,"Rodney+,2014","starburst, Riess+,2018"
Borg,,,,,,,,
Mcguire,,,,,,Late-type,"Meyers+,2012",
Sasquatch,,,,,,Early-type,"Meyers+,2012",
carter,,,,,,,,
Primo,,03 32 37.991 -27 46 38.69,,,,Scd/Ir,"Rodney+,2014","irregular, Rodney+,2014;starburst, Riess+,2018"
geta,,,,,,,,
stone,,12 37 16.823 +62 16 42.65,,,,,,"active, Riess+,2018;Rodney+,2014"
wilson,,02 17 46.332 -05 15 23.90,,,,E/S0,"Rodney+,2014","starburst, Riess+,2018"
colfax,,12 36 37.514 +62 18 32.66,,,,E/S0,"Rodney+,2014","active, Riess+,2018"
